,titel,beschreibung,postleitzahl,stadt,zeit
0,['Waschbetonplatten'],"['Verschenke ca 30qm', '50x50x4', 'Die Platten müssen selber rausgenommen werden', 'Keine Garantie oder...']",['Osnabrück'],['Osnabrück'],18:04
1,['Wagenheber'],['Alter Wagenheber zu verschenken'],['Osnabrück'],['Osnabrück'],17:56
2,['Zaunelement zu verschenken an Selbstabholer'],['Wir verschenken das abgebildete Zaunelement an einen Selbstabholer. Das Zaunelement müsste...'],['Hasbergen'],['Hasbergen'],17:54
3,"['Kleiderschrank Vollholz 2,16 M hoch, 1,47 M lang, 0,53 tief']","['NOTVERSCHENKUNG', '', 'Schrank zu verschenken. Muss selber abgebaut werden. Die Türen laufen auf...']",['Osnabrück'],['Osnabrück'],17:45
4,['Dachpfannen'],['Verschenke 10 Dachpfannen mit ein paar Mörtelresten auf der Vorder- und Rückseite. Sie kommen vom...'],['Osnabrück'],['Osnabrück'],17:32
5,['Lamellenzaun'],"['Hallo, suche 3 Lamellen zäune.']",['Osnabrück'],['Osnabrück'],17:29
6,['Zu verschenken'],['Abholen in OS sorry für die Unordnung TV Schrank mit Schubladen von IKEA eine schraube ist locker...'],['Osnabrück'],['Osnabrück'],17:25
7,['*Reserviert* Teddy sucht neues Zuhause'],['Gerade mal bin ich ein halbes Jahr alt und suche ein neues Zuhause. Sehe vielleicht etwas zerzaust...'],['Osnabrück'],['Osnabrück'],17:19
8,['Teppich Ikea'],"['Teppich beige Ikea 195x120 cm abzugeben.', 'Keine Flecken guter Zustand.']",['Osnabrück'],['Osnabrück'],17:16
9,['Jugendzimmer'],['Jugendzimmer Einrichtung abzugeben. Insgesamt vier Teile. Gebrauchsspuren und kleine Kratzer...'],['Osnabrück'],['Osnabrück'],17:06
10,['Kantsteine zu verschenken'],['8 komplette und 5 geschnittene'],['Osnabrück'],['Osnabrück'],17:01
11,['Diverse glasdeko'],['Diverse verschiedene bunte Gläser zu verschenken. Nur Abholung!'],['Osnabrück'],['Osnabrück'],16:59
12,['Bild mit Bambus'],['Keine Gebrauchsspuren'],['Osnabrück'],['Osnabrück'],16:47
13,['Grappagläschen'],"['6 Gläschen', 'Abholung bitte sofort']",['Osnabrück'],['Osnabrück'],16:40
14,['2 Nachttische aus Haushaltsauflösung'],"['Wir verkaufen das Inventar aus dem Haushalt unserer Eltern.', 'hier verschenken wir 2 Nachttische,', 'Ich...']",['Osnabrück'],['Osnabrück'],15:48
15,['Schreibtisch'],"['75cm hoch', '80 cm breit', '160cm lang', '', 'Der Schreibtisch muss aus Platzgründen weg']",['Osnabrück'],['Osnabrück'],15:08
16,['verschenke aufgrund Umzugs'],['ist gebraucht aber noch im guten Zustand reserviert bis morgen Vormittag'],['Osnabrück'],['Osnabrück'],14:59
17,"['TV Möbel (Hängeschrank, Regale, TV-Tisch/Fernsehschrank)']","['Ich verschenke meine TV-Wohnwand bei Abholung :)', '', 'Ich möchte die Möbel einfach loswerden, da ich...']",['Osnabrück'],['Osnabrück'],14:57
18,['zu verschenken falls jemand braucht'],['keine Rücknahme'],['Osnabrück'],['Osnabrück'],14:50
19,['Kinderschuhe zu verschenken.'],"['Biete einige Schuhe noch im guten Zustand. Große 27/28 Winterstiefel, alles andere...']",['Osnabrück'],['Osnabrück'],14:48
20,['3 schranke und halbe kuche'],['Abholung sofort bitte'],['Osnabrück'],['Osnabrück'],14:17
21,['Großer schwarzer Panther'],['Aufgrund meines Umzugs verschenke ich diesen großen Panther. Das linke Ohr müsste wieder angenäht...'],['Osnabrück'],['Osnabrück'],14:16
22,['Besen ohne Stiel'],"['Moin,', 'ich biete hier einen alten Besen ohne Stiel.', 'Keinerlei Beschädigungen. Lediglich ein wenig...']",['Hasbergen'],['Hasbergen'],14:13
23,['ReservierPflastersplitt Pflasterbettung Kies Sand 0-5mm ca. 700kg'],['Pflastersplitt zu verschenken. Ca. 700kg. Abzuholen in Schinkel Osnabrück. Liegt auf dem Pflaster...'],['Osnabrück'],['Osnabrück'],14:13
24,['Kostenlose Mitgliedschaft'],"['im essensworld.de-Club', '', 'Günstig einkaufen zu Mitgliedspreisen', '', 'Sponsor-ID: 1540000535', '', '', 'Schick mir...']",['Osnabrück'],['Osnabrück'],14:11
